rid,employer_name,verdict,organisation,address,city,state,zip,source_name,source_url,note
84,AMITAY CONSULTING,correct,"Amitay Consulting, LLC","444 North Capitol Street NW, Suite 345",Washington,DC,20001,amitayconsulting.com contact page,http://amitayconsulting.com/contact-us/,"The firm's site footer lists Suite 345, matching the published address; the body of the same page still says Suite 203, but the building and ZIP are the same."
85,AMLON RESOURCES GROUP,correct,The Amlon Group / Amlon Resources Group LLC (New York office),"10 East 40th Street, Suite 3802",New York,NY,10016,ScrapMonster company directory (Amlon Group NYC),https://www.scrapmonster.com/company/amlon-group-nyc/144618,"Amlon Resources Group's New York office is at 10 E 40th St Ste 3802, which fits the NJ-based CEO; a 2022 press release says the parent Amlon Group is headquartered in Plano TX."
86,AMPERON,correct,"Amperon (Amperon Holdings, Inc.)","2000 Crawford St., Suite 1300",Houston,TX,77002,NAEMA new member listing,https://naema.com/new-member-amperon/,Amperon's only listed office is its Houston headquarters; the Seattle partnerships director has no local office.
87,AMPERSAND INC,corrected,"Ampersand (National Cable Communications LLC dba Ampersand, TV advertising)","151 West 42nd Street, 11th Floor",New York,NY,10036,ampersand.tv terms of service,https://www.ampersand.tv/terms-of-service,"The NYC Salesforce manager works for Ampersand, the TV-advertising company (ampersand.tv, Salesforce and ad-tech operations role), not Ampersand, Inc. of Waukesha WI, a deposit and treasury firm."
88,ANCHORAGE CAPITAL ADVISORS,corrected,"Anchorage Capital Advisors, L.P.","610 Broadway, 6th Floor",New York,NY,10012,anchoragecapital.com footer,https://anchoragecapital.com/,"The firm's official site lists its New York office at 610 Broadway, 6th Floor; 601 Lexington Ave 44th Floor is out of date."
89,ANDURIL INDUSTRIES,corrected,"Anduril Industries, Inc. (Washington DC office)",909 E St NW,Washington,DC,20004,ADI Construction project page (Anduril DC office); HQ confirmed via LDA registrant record,https://adigc.com/projects/anduril/,"The software engineer files from Washington DC, where Anduril has offices on floors 5-6 of 909 E St NW; the published 1560 Sherman Ave Santa Monica is not an Anduril address (HQ is 1400 Anduril, Costa Mesa CA 92626)."
90,ANGIOLOGY CORPORATION OF AMERICA,home_based,Angiology Corporation of America (AngioScreen),,Joelton,TN,37080,angioscreen.com contact footer,https://www.angioscreen.com/,"The company's site lists a Joelton TN street address that is exactly the CEO's own 2025 FEC filing address (BBB still shows an older Nashville office), so the street is withheld as likely home-based."
91,ANNEX VENTURES,not_found,Unidentified Dallas-based 'Annex Ventures' (not the California VC firm),,,,,annexventures.com team page,https://annexventures.com/team,"The California Annex Ventures (San Jose/Los Altos) team does not include a Dallas-based president, and no public office could be found for the Texas firm the donor runs."
92,ANTARES CAPITAL CORP,home_based,"Antares Capital Corporation (Florida venture capital firm, doc P93000033140)",,Merritt Island,FL,32952,Florida Division of Corporations (Sunbiz),https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchNameOrder=ANTARESCAPITAL&searchTerm=ANTARES%20CAPITAL,"The Miami venture-capital partner works for the small Florida VC firm Antares Capital Corporation, not the Chicago private-credit lender Antares Capital LP; its registered principal address is an individual officer's address with a PO Box, so the street is withheld."
93,AOPA,correct,Aircraft Owners and Pilots Association (and AOPA Foundation),421 Aviation Way,Frederick,MD,21701,aopa.org footer,https://www.aopa.org/about/contact-us,"The former fundraiser worked for AOPA and its foundation, both headquartered at 421 Aviation Way in Frederick."
94,APPLIED MATERIALS,correct,"Applied Materials, Inc. (headquarters)",3050 Bowers Ave,Santa Clara,CA,95054,SEC EDGAR company record,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000006951,"SEC filings confirm the Santa Clara headquarters; no Applied Materials office in Rochester NY could be verified, so HQ applies."
95,ARCADIA IBI GROUP,corrected,"Arcadis (IBI Group, acquired and rebranded Arcadis IBI Group) - Los Angeles office","333 South Hope Street, C200",Los Angeles,CA,90071,arcadis.com office locations,https://www.arcadis.com/en-us/office-locations,"'Arcadia IBI Group' is Arcadis IBI Group, now part of Arcadis (US HQ Highlands Ranch CO); the West Hills CA designer fits the Arcadis Los Angeles office, not a Raleigh address."
96,AREAS,ambiguous,"Undetermined: Areas USA (airport concessions, Miami HQ) vs an unidentified Los Angeles real-estate firm named Areas",,,,,,,"The published Miami address is Areas USA, an airport food-and-beverage operator; a Los Angeles real-estate donor could be in its concession-leasing side or at an unrelated LA firm, and nothing public settles which."
97,ARENTFOX SCHIFF,corrected,ArentFox Schiff LLP (New York office),"1301 Avenue of the Americas, 42nd Floor",New York,NY,10019,afslaw.com New York office page,https://www.afslaw.com/offices/new-york,"'1301 K St NW' is not a real ArentFox address (the DC office is 1717 K Street NW); most donors are in New York, so the New York office is used (LA office: 555 South Flower St, 43rd Floor)."
98,ARNOLD & PORTER,correct,Arnold & Porter Kaye Scholer LLP (Washington DC headquarters),"601 Massachusetts Ave, NW",Washington,DC,20001,arnoldporter.com DC office page,https://www.arnoldporter.com/en/offices/washington-dc,"The DC headquarters is right; donors split between DC-area and NY-area homes (NY office: 250 West 55th Street, 10019)."
99,ART FLAG,not_found,"Art Flag Co. Inc. (NY corporation, dissolved)",,,,,NY Department of State corporation database (DOS ID 132577),https://apps.dos.ny.gov/publicInquiry/,"Art Flag Co. Inc., a retiree's former employer, was voluntarily dissolved in 2021, and the published Edgewater NJ street is the former officer's personal unit address, so it must be removed."
100,ART OF LIVING FOUNDATION,correct,Art of Living Foundation (Washington DC center),2401 15th St NW #7,Washington,DC,20009,dc.artofliving.org about page,https://dc.artofliving.org/about/,"2401 15th St NW #7 is the foundation's current DC center; it has no Florida office, and its IRS address is a Walnut Creek CA accountant (care-of), not an office."
101,ARTISAN PARTNERS,correct,Artisan Partners (headquarters),"875 E. Wisconsin Avenue, Suite 800",Milwaukee,WI,53202,artisanpartners.com contact page (also SEC EDGAR),https://www.artisanpartners.com/contact-us.html,"The Milwaukee HQ is right; Artisan's Form ADV lists four separate Manhattan team offices, and none is identified as the institutional sales office, so HQ is kept."
102,ASCENT PARTNERS,not_found,Unidentified Charlotte-area 'Ascent Partners',,,,,Florida Division of Corporations (Sunbiz),https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchNameOrder=ASCENTPARTNERS&searchTerm=ASCENT%20PARTNERS,"The published Aventura address belongs to Ascent Partners Fund LLC, a Florida fund voluntarily dissolved in March 2025 and unrelated to the Charlotte project manager; the right firm could not be identified."
103,ASIAQUEST JOURNEYS,home_based,"AsiaQuest Journeys, LLC (JapanQuest Journeys luxury Japan tour operator)",,Washington,DC,20007,NY Department of State record (DOS ID 7304462) + asiaquestjourneys.com,https://apps.dos.ny.gov/publicInquiry/,"This small tour operator's website gives no office address (only a 202 phone); its only public street is the LLC's filing address on a residential Georgetown block, so the street is withheld."
104,ASRC FEDERAL,correct,ASRC Federal Holding Company (headquarters),"11091 Sunset Hills Road, Suite 800",Reston,VA,20190,asrcfederal.com contact page,https://www.asrcfederal.com/contact,"The company's site lists its Reston headquarters, which is in the same DC metro area as the Maryland data analyst."
105,ASSURED INVESTMENT MANAGEMENT,corrected,"Assured Investment Management LLC (now Sound Point Luna LLC, SEC CRD 128132)","375 Park Avenue, 34th Floor",New York,NY,10152,SEC Investment Adviser Public Disclosure,https://adviserinfo.sec.gov/firm/summary/128132,"Assured Investment Management (formerly BlueMountain) has been renamed Sound Point Luna LLC, whose 2026 Form ADV office is 375 Park Ave 34th Floor; the Lake Success address is not this firm."
106,ASURION,corrected,"Asurion, LLC (headquarters)",140 11th Ave. North,Nashville,TN,37203,asurion.com privacy policy,https://www.asurion.com/privacy-policy/,"Asurion's official notices now give its headquarters as 140 11th Ave. North, Nashville, not 1101 Church St."
107,AT HOME,generic_no_office,None (status phrase meaning homemaker/not employed),,,,,,,"'At home' is a homemaker/retiree status (occupations HOUSEWIFE/RETIRED), not the At Home retail chain, so no address should be published."
108,ATCO,not_found,Unidentified Shreveport-area business named ATCO,,,,,,,"The donor owns/manages an ATCO in Shreveport that could not be identified in public sources; the published Spring TX suite could not be tied to it, and the Louisiana registry was bot-protected."
109,ATHENE,correct,Athene Holding Ltd. / Athene Annuity (US headquarters),7700 Mills Civic Parkway,West Des Moines,IA,50266,athene.com contact page (also SEC EDGAR),https://www.athene.com/contact-us,"Athene lists only its West Des Moines headquarters and no Los Angeles office, so HQ is right for the LA-based legal SVP."
110,ATHENS INSURANCE SERVICES INC,correct,"Athens Administrators (Athens Insurance Service, Inc.) - corporate headquarters",2552 Stanwell Drive,Concord,CA,94520,athensadmin.com contact page,https://www.athensadmin.com/contact,"The retired claims specialist worked for Athens, a claims administrator with no Pennsylvania office (only CA, FL, HI, NV and TX), so the Concord HQ is right."
111,ATLANTIC ENT,corrected,"Atlantic Ear, Nose & Throat (Central Florida ENT practice) - Lake Mary office","1301 S. International Pkwy, 2nd Floor, Suite 2011",Lake Mary,FL,32746,atlanticent.com (site structured data and patient reviews),https://www.atlanticent.com/,"The Orlando physician practices at Atlantic Ear, Nose & Throat, whose patient reviews name him at its Lake Mary office; the Toms River NJ address is an unrelated practice."
112,AUDACIOUS,ambiguous,"Undetermined: Audacious Inquiry (Baltimore health IT, acquired by PointClickCare 2021) vs an unidentified Chicago-area firm",,,,,,,The bare name 'Audacious' for a Riverwoods IL finance donor cannot be tied to the Baltimore Audacious Inquiry office in the published address or to any other firm.
113,AUTUMN COMMUNICATIONS INC,ambiguous,"Undetermined: Autumn Communications (PR agency, NY office 26 West 17th St, 4th Floor) vs a separate Autumn Communications, Inc.",,,,,autumncommunications.com agency page,https://www.autumncommunications.com/the-agency,"The PR agency's leadership list does not include the self-described owner/president, and New York has only the agency's California LLC on file, so which company this is cannot be decided; the Beverly Hills address is unverified."
114,AVANTUS,correct,"Avantus (clean energy developer, headquarters)","655 W Broadway, Suite 1550",San Diego,CA,92101,avantus.com contact page,https://avantus.com/contact-us,"Avantus lists only its San Diego headquarters, which matches the published address; there is no New Orleans office."
115,AVOQ,correct,"Avoq, LLC (headquarters)","1201 NY Ave. NW, Suite 900",Washington,DC,20005,LDA.gov lobbying registrant record (updated 2026-07-29),https://lda.gov/api/v1/registrants/?registrant_name=avoq,The lobbying registration confirms the DC headquarters; a Chicago office is reported for the Chicago co-founder but could not be verified because avoq.com was unreachable.
116,AWARD,not_found,Unidentified former employer named 'Award',,,,,,,"'Award' is a bare word carried over as a retiree's previous employer, and no specific organisation (or link to the published Philadelphia address) can be established."
117,AWS,correct,"Amazon Web Services, Inc.",410 Terry Avenue North,Seattle,WA,98109,AWS Customer Agreement contracting-party table,https://aws.amazon.com/agreement/,"Both donors work for AWS (one in data center engineering operations, one a tech executive), and AWS's legal address is 410 Terry Avenue North, Seattle."
118,AXA XL,corrected,AXA XL (Philadelphia office),"1600 Market Street, Suite 2050",PHILADELPHIA,PA,19103,AXA XL office locator,https://axaxl.com/search/locations?country=united-states,"The donor is AXA XL's head of pricing analytics and is based in Voorhees NJ. AXA XL has two Philadelphia-metro offices (1600 Market St and 505 Eagleview Blvd, Exton), so the nearer Philadelphia office replaces the Stamford CT home office."
119,AXCEL PARTNERS,home_based,Axcel Partners LLC (private investment partnership),,STEVENSON,MD,,"Directory/bio search snippets (ZoomInfo, Jewish Agency bio)",,"This is a one-principal private equity partnership that invests in Israeli tech. It has no public office, and the published Nacirema Ln address is on a residential lane. The axcel.partners website belongs to an unrelated consultancy."
120,AXOGEN,correct,"Axogen, Inc.","13631 Progress Blvd, Suite 400",ALACHUA,FL,32615,Axogen contact page,https://www.axogeninc.com/contact/,"The corporate HQ is confirmed. The official form adds Suite 400. Axogen also has a Tampa corporate campus, but there is no Georgia office."
121,BAIN & COMPANY,corrected,Bain & Company (Boston headquarters),350 Boylston Street,BOSTON,MA,02116,Bain & Company Boston office page,https://www.bain.com/offices/boston/,"Bain moved its Boston headquarters from 131 Dartmouth St to 350 Boylston St. The donors are spread across several metros (CA, TX, and one partner listed in Chicago), so the HQ is used."
122,BAIRD,correct,Robert W. Baird & Co.,777 East Wisconsin Avenue,MILWAUKEE,WI,53202,Baird business locations page,https://www.rwbaird.com/who-we-are/locations/,"The Milwaukee HQ is confirmed; the official listing has no suite. The donors are split between the NY and Chicago metros, so the HQ is kept."
123,BALFOUR,corrected,"Balfour Residential (Atlanta property management, affiliated with B. Wolf & Sons)",4488 N Shallowford Rd,ATLANTA,GA,30338,Birdeye business listing,https://reviews.birdeye.com/balfour-residential-164593623260394,"The published Austin TX address belongs to Balfour the class-ring maker, a different company. The Atlanta real-estate donor matches the president of Balfour Residential, a Wolf-family multifamily manager in Dunwoody."
124,"BANK OF NEW YORK MELLON, NA",corrected,BNY (The Bank of New York Mellon) - Philadelphia office,"1735 Market Street, 8th Floor",PHILADELPHIA,PA,19103,BNY Wealth Philadelphia location page,https://www.bny.com/wealth/global/en/about-us/locations/philadelphia.html,"The donor is a Philadelphia corporate-fiduciary officer. BNY has a Philadelphia office at BNY Mellon Center, so it replaces the 240 Greenwich St NYC global HQ."
125,BARNES & THORNBURG,corrected,Barnes & Thornburg LLP (Indianapolis headquarters),11 S. Meridian Street,INDIANAPOLIS,IN,46204,Barnes & Thornburg locations page,https://btlaw.com/en/locations,"The published 202 N Meridian St is wrong; the firm's HQ is 11 S Meridian St. The donors are spread across GA, IL, MN and TX offices, so the HQ is used."
126,"BARUCH COLLEGE, CITY UNIVERSITY OF NEW YORK",correct,"Baruch College, CUNY",One Bernard Baruch Way,NEW YORK,NY,10010,Baruch College contact page,https://www.baruch.cuny.edu/contact/,Confirmed as the official address; it is also written as 55 Lexington Avenue at 24th St.
127,BAY CHILDREN'S MEDICAL GROUP (BCMG),correct,BayChildren's Medical Group (part of UCSF Benioff Children's Physicians),"6425 Christie Avenue, Suite 220",EMERYVILLE,CA,94608,UCSF Benioff Children's Physicians - BCMG page,https://www.ubcp.org/ubcp/ubcp-baychildren-s-medical-group.aspx,The official page gives BCMG's main office as 6425 Christie Ave Ste 220. An older NPI record from 2015 shows 6475 Christie Ave Ste 300.
128,BAYBERRY CARE CENTER,correct,Bayberry Care Center (skilled nursing facility),40 Keogh Lane,NEW ROCHELLE,NY,10805,Bayberry Care Center contact page,https://bayberrycarecenter.com/contact/,Confirmed on the facility's own contact page; the donors are its owners.
129,BAYER,corrected,"Bayer Crop Science (Bayer U.S., St. Louis campus)",800 N. Lindbergh Blvd.,ST. LOUIS,MO,63167,Bayer Crop Science contact page,https://www.bayer.com/en/agriculture/contact-us-cropscience,"The donor is a software developer in University City MO. Bayer's St. Louis-area site (Crop Science North America HQ, Creve Coeur campus) fits better than the Whippany NJ US HQ."
130,BEELINE MOBILITY,correct,Beeline Mobility,8110 7th Ave S,SEATTLE,WA,98108,Beeline Mobility About Us page,https://beelinemobility.com/about-us/,"Confirmed on the official page, which lists the donor as the company's Chief Growth Officer. No Pennsylvania office was found."
131,BELKIN BURDEN GOLDMAN,corrected,"Belkin Burden Goldman, LLP","60 East 42nd Street, 16th Floor",NEW YORK,NY,10165,Belkin Burden Goldman contact page,https://bbgllp.com/contact-us-real-estate-lawyers/,The firm's only listed office is 60 E 42nd St; the published 476 5th Ave is not a current address.
132,BERRY GLOBAL,corrected,"Berry Global Group, Inc. (acquired by Amcor, April 2025)",101 Oakley Street,EVANSVILLE,IN,47710,SEC EDGAR - Berry Global Form SD,https://www.sec.gov/Archives/edgar/data/1378992/000137899224000041/formsd.htm,"The published 10100 Kincey Ave is not Berry's HQ. Berry's principal executive office is 101 Oakley St, Evansville, which remains a major Amcor site after the 2025 combination."
133,BETHESDA SOFTWORKS,correct,Bethesda Softworks LLC (ZeniMax Media / Microsoft),"1370 Piccard Drive, Suite 120",ROCKVILLE,MD,20850,ZeniMax Impressum (official),https://www.zenimax.com/en/legal/impressum,"The official impressum lists Bethesda Softworks LLC at 1370 Piccard Drive, Rockville. BBB's ZeniMax listing shows Ste 120. The donor lives in the same DC metro."
134,BITDEFENDER INC,correct,Bitdefender Inc.,"6301 NW 5th Way, Suite 4300",FORT LAUDERDALE,FL,33309,Bitdefender company page,https://www.bitdefender.com/en-us/company/,"Fort Lauderdale is one of Bitdefender's two official US offices; the North America HQ is 111 W Houston St Ste 2105, San Antonio TX. No California office is listed for this San Francisco-based seller."
135,BLEAKLEY FINANCIAL GROUP,corrected,Bleakley Financial Group LLC (dba OnePoint BFG Wealth Partners),"300 Kimball Drive, Suite 310",PARSIPPANY,NJ,07054,OnePoint BFG Wealth Partners locations page,https://www.onepointbfg.com/locations,"The firm now operates as OnePoint BFG and its HQ is 300 Kimball Dr (earlier 100 Passaic Ave, Fairfield). The published 9 Campus Dr is outdated. There is no Connecticut office; the donor's ADV lists a home office, which was not used."
136,BLUMBERG CAPITAL,corrected,Blumberg Capital (San Francisco headquarters),432 Bryant Street,SAN FRANCISCO,CA,94107,Blumberg Capital team page (office list),https://blumbergcapital.com/team/,"The published 580 California St is wrong; the HQ is 432 Bryant St. Donors are in NY and Miami. The firm also lists 575 Lexington Ave NY and a Sunny Isles Beach unit, but the HQ is used."
137,BOSPAR,not_found,Bospar (all-remote PR agency),,,,,Bospar locations page,https://bospar.com/about-us/locations/,"Bospar has been fully remote since it was founded and publishes city names only, with no street office. The published 260 California St Ste 450 could not be confirmed."
138,BOSTON BEER COMPANY,correct,"The Boston Beer Company, Inc.","One Design Center Place, Suite 850",BOSTON,MA,02210,SEC EDGAR company record (business address),https://data.sec.gov/submissions/CIK0000949870.json,"The principal executive office is confirmed by 2026 SEC filings; the exact form adds Suite 850. There is no Kansas office, so the HQ is kept."
139,BRAINFUSE,correct,Brainfuse (online tutoring),271 Madison Avenue,NEW YORK,NY,10016,Brainfuse contact page,https://www.brainfuse.com/company/contactus.asp,Confirmed on the company's own contact page.
140,BRAVO,corrected,"Bravo Messenger Service (Fair Lawn, NJ courier)",5-11 Saddle River Rd,FAIR LAWN,NJ,07410,Bravo Messenger Service website,https://bravomessenger.com/,"The published 30 Hudson Yards is NBCUniversal's Bravo TV, the wrong company. Business profiles show the donor is a partner at Bravo Messenger Service, a North Jersey courier."
141,BRIDGE 360,ambiguous,Unresolved: Bridge360 (Austin software developer) vs Bridge360 (bridge360.us consultancy),,,,,Bridge360 consultancy site,https://bridge360.us/,"Nothing links this retired Long Island advisor to Bridge360 of Austin, a software shop that MapQuest marks as closed. The bridge360.us trade/finance consultancy publishes no address, so neither candidate can be confirmed."
142,BRIDGE INVESTMENT GROUP,corrected,Bridge Investment Group (Charlotte office),"6836 Carnegie Blvd, Suite 300",CHARLOTTE,NC,28211,Bridge Investment Group contact page,https://www.bridgeig.com/contact,"The donor is in Charlotte, where Bridge has an office. The HQ is 111 E Sego Lily Dr Ste 400, Salt Lake City (Sandy) UT 84070."
143,BRIGADE CAPITAL MANAGEMENT,corrected,"Brigade Capital Management, LP","399 Park Avenue, 16th Floor",NEW YORK,NY,10022,"SEC EDGAR company record (business address, Aug 2026 filing)",https://data.sec.gov/submissions/CIK0001421306.json,"The published 437 Madison Ave is outdated; current SEC filings give 399 Park Ave, 16th Floor."
144,BUILDING OWNERS AND MANAGERS ASSOCIATION,corrected,BOMA Greater Los Angeles (BOMA/GLA),"700 South Flower, Suite 1000",LOS ANGELES,CA,90017,BOMA Greater Los Angeles contact page,https://www.bomagla.org/contact-us,"The donor is BOMA/GLA's Director of Government and Public Affairs, not a BOMA International employee. The DC address is BOMA International."
145,C3 RISK & INSURANCE SERVICES,corrected,C3 Risk & Insurance Services (San Diego headquarters),"404 Camino del Rio South, Suite 410",SAN DIEGO,CA,92108,C3 Risk & Insurance Services contact page,https://www.c3insurance.com/contact,"The published Southlake TX address is wrong; C3's HQ is in San Diego, which is also where the donor lives."
146,CANYONMD,correct,"CanyonMD (CanyonMD Billing, LLC)",347 5th Ave,NEW YORK,NY,10016,Salary.com company overview,https://www.salary.com/research/company/canyonmd-overview,This NYC medical-billing firm is linked to the donor through a 2022 court filing. A snippet of that 2022 complaint gives Suite 709 at 347 Fifth Ave; the company's own site lists no address.
147,CAPALINO,corrected,Capalino (Capalino+Company),"233 Broadway, Suite 710",NEW YORK,NY,10279,Capalino contact page (Wayback capture 2025-09-16),http://web.archive.org/web/20250916014109/https://www.capalino.com/contact/,"The donor is a principal at this NYC urban-strategy firm. Its official contact page lists the Woolworth Building, not 100 Church St. The live site currently has an expired SSL certificate, so the source is the archived page."
148,CAPITAL ONE FINANCIAL,corrected,Capital One (New York office),299 Park Avenue,NEW YORK,NY,10171,Capital One Careers - New York locations,https://www.capitalonecareers.com/new-york/,"The donor is an investment banker on Long Island, so Capital One's Manhattan office fits better than the McLean VA HQ. FINRA lists Capital One Securities at the same address, 28th Floor."
149,CARYN GROEDEL & ASSOCIATES CO LPA,corrected,"Caryn Groedel & Associates Co., LPA","31340 Solon Road, Suite 27",SOLON,OH,44139,Caryn Groedel & Associates website,https://caryngroedellaw.com/,"The street number is 31340, not 31300. The firm writes its city as Cleveland, but ZIP 44139 is Solon. Its old groedel-law.com domain is now parked."
150,CASPER SLEEP,corrected,Casper Sleep Inc. (now part of Carpenter Co.),"196 Mercer Street, Ground Floor",NEW YORK,NY,10012,Casper Terms of Service (contact section),https://casper.com/pages/terms,Casper left its 3 World Trade Center (175 Greenwich St) office. Its current terms and privacy policy give 196 Mercer St as the corporate contact address.
151,CASSIDY TURLEY,not_found,"Cassidy Turley (defunct; merged into DTZ in 2015, now Cushman & Wakefield)",,,,,Wikipedia - Cassidy Turley,https://en.wikipedia.org/wiki/Cassidy_Turley,"The firm stopped existing when DTZ completed its acquisition in January 2015, and it has no current office. The published DC address was also the wrong metro for these San Francisco donors."
152,CATALIS,correct,Catalis (government software; parent of TurboCourt),"3025 Windward Plaza, Ste 200",ALPHARETTA,GA,30005,Catalis website footer,https://catalisgov.com/,The donor is a TurboCourt/Catalis sales executive. The official US address matches the published one.
153,CAULIPOWER,not_found,"CAULIPOWER, LLC",,,,,CAULIPOWER LinkedIn company page,https://www.linkedin.com/company/caulipower,"The company lists only a virtual mailbox (7610 Beverly Blvd #480529, Los Angeles 90048). Older registry listings show 16200 Ventura Blvd Ste 400, Encino, and the published San Diego address could not be confirmed as an office."
154,CBIZ,corrected,"CBIZ, Inc. (headquarters)","5959 Rockside Woods Blvd N., Suite 600",INDEPENDENCE,OH,44131,"SEC EDGAR company record (business address, Sep 2026 filing)",https://data.sec.gov/submissions/CIK0000944148.json,"The published 6055 Rockside Woods Blvd Ste 200 is CBIZ's former HQ. The six donors are spread across NY, PA and CA, so the current HQ is used."
155,CCG / ALTERITY CAPITAL,correct,"Comer Capital Group, LLC (CCG) / Alterity Capital","1880 Lakeland Drive, Suite C",JACKSON,MS,39216,"SEC Form MA-A (municipal advisor registration, Jan 2024)",https://www.sec.gov/Archives/edgar/data/1616021/000161602124000002/xslFormMA_X01/primary_doc.xml,"The donor founded CCG and co-leads Alterity. CCG's SEC-registered principal office is the published Jackson address. Alterity publishes no address, and no Chicago office is listed."
156,CEDAR,correct,"Cedar Cares, Inc. (healthcare financial-experience platform)","32 6th Avenue, 18th Floor",NEW YORK,NY,10013,Cedar website footer,https://www.cedar.com/,The donor is Cedar's VP of Product Marketing and works remotely from the DC area. The company's official address matches the published one.
157,CEDAR REALTY,correct,"Cedar Realty Trust, Inc. (wholly owned subsidiary of Wheeler REIT)",2529 Virginia Beach Blvd.,Virginia Beach,VA,23452,Cedar Realty Trust investor relations - company information (also SEC EDGAR business address),https://ir.cedarrealtytrust.com/company-information,Cedar moved its head office from Port Washington NY to Wheeler REIT's office after Wheeler bought it in 2022; the address we publish is its current office per its IR site and SEC filings.
158,CENTENE,correct,Centene Corporation,"Centene Plaza, 7700 Forsyth Boulevard",St. Louis,MO,63105,Centene contact page,https://www.centene.com/contact.html,"Centene's global headquarters; the site gives no street address for California offices, so the headquarters is the best fit for a California clinical employee."
159,CENTERBASE LLC,correct,"Centerbase, LLC (legal practice-management software)","8350 N. Central Expressway, Suite 1950",Dallas,TX,75206,BBB business profile,https://www.bbb.org/us/tx/dallas/profile/information-technology-services/centerbase-0875-90936050,"BBB lists Suite 1950, matching what we publish; the ALA directory shows the same building as Suite 1900 PMB #3266, which suggests part of the address is a mailbox; the donor works remotely for this Dallas firm."
160,CENTRA HEALTH,corrected,"Centra Health, Inc. (Lynchburg VA health system)",1920 Atherholt Road,Lynchburg,VA,24501,Lynchburg Regional Chamber member directory (BBB profile agrees),https://business.lynchburgregion.org/list/member/centra-300,"The donor is confirmed as legal-services counsel at Centra Health; its corporate address is 1920 Atherholt Road, and no Centra site was found at 1401 Wicker Dr."
161,CHABAD,generic_no_office,Chabad-Lubavitch movement (separate local Chabad centers),,,,,,,"The three rabbis live in Utah, Texas and California and each works for a separately run local Chabad center, not the Brooklyn world headquarters, so 'Chabad' has no single meaningful office."
162,CHANNEL FACTORY,correct,Channel Factory (YouTube brand-safety / contextual video ad-tech),"17700 Castleton Street, Suite 406",City of Industry,CA,91748,Channel Factory official contact page,https://www.channelfactory.com/contact-us,The official site lists this as corporate headquarters; no Florida office was found for the Latin America managing director.
163,CHARLES & LYNN SCHUSTERMAN FAMILY PHILANTHROPIES,corrected,Charles and Lynn Schusterman Family Philanthropies (Foundation),"110 West 7th Street, Suite 2000",Tulsa,OK,74119,GLEIF LEI record (Bloomberg LEI) - headquarters address,https://lei.bloomberg.com/leis/view/549300FHRTFMWVDRET28,"The foundation has no Oklahoma City office; its headquarters is in Tulsa (LEI record last updated 2023; public mailing address PO Box 51, Tulsa); it has a DC office that would fit the Maryland-based president better, but no official street address is published (aggregators show 800 8th St NW, which is Hillel's building)."
164,CHARLES RIVER ASSOCIATES,correct,Charles River Associates (CRA International),200 Clarendon Street,Boston,MA,02116,CRA Boston office page,https://www.crai.com/locations/boston/,"CRA's world headquarters; the site gives no floor, so '54th floor' could not be confirmed; there is no Connecticut office."
165,CHASE,corrected,JPMorgan Chase & Co.,270 Park Avenue,New York,NY,10017,JPMorganChase newsroom - new global HQ opening (SEC EDGAR address agrees),https://www.jpmorganchase.com/newsroom/stories/jpmc-celebrates-new-global-hq-at-270-park-ave,"383 Madison Ave was the temporary headquarters; JPMorganChase opened its new global headquarters at 270 Park Avenue in October 2025, and SEC filings now list that address."
166,CHATHAM FINANCIAL,corrected,Chatham Financial Corp.,235 Whitehorse Lane,Kennett Square,PA,19348,BBB business profile,https://www.bbb.org/us/pa/kennett-sq/profile/financial-services/chatham-financial-corp-0241-172443679,"The donor leads Chatham Financial's investment banking practice; the firm is headquartered in Kennett Square, and no Chatham office at 2000 Market St Philadelphia or in Florida was found."
167,CHICOS FAS,correct,"Chico's FAS, Inc. (Chico's)",11215 Metro Parkway,Fort Myers,FL,33966,Chico's contact page,https://www.chicos.com/store/page/contact-us,Chico's corporate address is unchanged since it went private under Sycamore in 2024.
168,CHIEF EXECUTIVE GROUP,correct,"Chief Executive Group, LLC (Chief Executive magazine / Corporate Board Member)","100 Westwood Pl, Suite 445",Brentwood,TN,37027,Chief Executive Group official contact page,https://www.chiefexecutivegroup.com/contact-us/,The company's own contact page lists the Brentwood TN office (older directories show Stamford CT); the donors are the company's executives.
169,CHILDREN'S LAW CENTER,corrected,Children's Law Center of California,101 Centre Plaza Drive,Monterey Park,CA,91754,Children's Law Center of California contact page,https://www.clccal.org/get-involved/contact/,"A Los Angeles-area attorney fits the California organisation's Los Angeles office, not the similarly named Children's Law Center in Washington DC whose address we publish now."
170,CHILDRENS MEDICAL CENTER,corrected,"Children's Medical Center (pediatric practice, Hollywood FL)","4651 Sheridan St, Suite 270",Hollywood,FL,33021,CMS NPPES NPI Registry (organisation record),https://npiregistry.cms.hhs.gov/api/?version=2.1&postal_code=33021&enumeration_type=NPI-2&organization_name=child*,"The employer is a local pediatric practice registered as CHILDRENS MEDICAL CENTER in Hollywood FL, the same suite as the donor's own practice record, not Children's Medical Center Dallas; the registry entry dates from 2008 but is still active."
