employer_name,decision,expansion,confidence,verified,evidence,why
VPC,expand,VICTORY PARK CAPITAL,high,,"https://www.victoryparkcapital.com/ — Victory Park Capital Advisors, LLC ('VPC'), global alternative asset manager headquartered in Chicago","Resolved HQ Chicago, IL with ASSET MANAGER and CEO donors in North Shore suburbs (Glencoe, Highland Park, Wilmette) matches Victory Park Capital Advisors, the Chicago alternative asset manager that brands itself 'VPC'."
WBD,expand,WARNER BROS. DISCOVERY,high,,"https://en.wikipedia.org/wiki/Warner_Bros._Discovery — article notes 'For other uses, see WBD', confirming it as the company abbreviation","Wikipedia confirms WBD as the company's abbreviation, and the Burbank, CA resolved HQ (the Warner Bros. lot) plus a REMASTERING SPECIALIST occupation strongly corroborate the studio."
WCHN,expand,WESTERN CONNECTICUT HEALTH NETWORK,high,,"https://en.wikipedia.org/wiki/Western_Connecticut_Health_Network — 24 Hospital Ave, Danbury CT",Resolved HQ Danbury CT matches WCHN exactly and the PHYSICIAN donor in Mamaroneck NY is within its catchment (network later renamed Nuvance Health).
WDS,expand,WESTCHESTER DAY SCHOOL,high,,https://www.westchesterday.org/,"ASSISTANT TEACHER donor in New Rochelle NY, immediately adjacent to Mamaroneck where Westchester Day School (which uses 'WDS' for itself) is located; a school-staff role fits precisely."
WESTSIDE,expand,WESTSIDE INVESTMENT PARTNERS,medium,,https://www.westsideinv.com/,INVESTOR donors in Denver and Greenwood Village CO match Denver-based Westside Investment Partners; medium because 'Westside' is a generic modifier and there is no resolved HQ to confirm.
WLRK,expand,"WACHTELL, LIPTON, ROSEN & KATZ",high,,"https://en.wikipedia.org/wiki/Wachtell,_Lipton,_Rosen_%26_Katz — NYC firm, website www.wlrk.com","Wikipedia lists wlrk.com as the firm's website, confirming WLRK as its initials, and its single Manhattan office matches the New York, NY resolved HQ and the ATTORNEY/LAWYER donors in New York, NY."
WME,expand,WILLIAM MORRIS ENDEAVOR,high,,https://en.wikipedia.org/wiki/William_Morris_Endeavor,"WME stands for William Morris Endeavor, the Beverly Hills talent agency formed by the 2009 William Morris / Endeavor merger; Beverly Hills HQ and TALENT AGENT / AGENT / department-head partner occupations corroborate precisely."
WPH,expand,WHITE PLAINS HOSPITAL,low,,"https://en.wikipedia.org/wiki/White_Plains_Hospital (41 East Post Road, White Plains, Westchester, NY)","MEDICAL DOCTOR donor in Armonk NY; White Plains Hospital is the major hospital in the same Westchester County town roughly five miles away, the only plausible WPH employer for a local physician — though the acronym itself is not documented on the hospital's own materials, so flag for review."
WRSSR,expand,"WOLF, RIFKIN, SHAPIRO, SCHULMAN & RABKIN",high,,https://www.wrslawyers.com/about/,"Initials match Wolf, Rifkin, Shapiro, Schulman & Rabkin (the firm abbreviates itself WRSS&R); LAWYER occupation and Los Angeles donor match its LA office."
WTW,expand,WILLIS TOWERS WATSON,medium,,https://investors.wtwco.com/news-releases/news-release-details/wtw-celebrates-new-name-and-nasdaq-ticker-symbol-market-opening and https://www.insurancetimes.co.uk/news/wtw-reintroducing-old-brand-names-as-part-of-2025-market-efforts/1454230.article,"ACTUARY and INSURANCE BROKER occupations plus a New York HQ corroborate the insurance brokerage; WTW is the current legal name but three opaque letters, and the firm itself reintroduced Willis and Towers Watson as go-to-market names, so the fuller form is materially more readable."
ZMC,expand,ZELNICK MEDIA CAPITAL,medium,,https://en.everybodywiki.com/Zelnick_Media_Capital,"FINANCE occupation with New York donor and New York HQ matches Zelnick Media Capital, the NYC media/entertainment private equity firm; medium only because the firm now brands itself simply 'ZMC', though the full name is far more intelligible to a dashboard reader."
ACTUM,keep_as_is,,medium,,"actumllc.com returned HTTP 403 and actum.com is a parked domain — but the name is a word brand, not an acronym","Actum is a Latin word used as the firm's brand name, not an acronym, so there is no expansion; CO-CHAIRMAN/CONSULTANT donors and a Los Angeles, CA HQ are consistent with the public-affairs firm that trades under this name."
AFLAC,keep_as_is,,high,,"n/a — well-known brand, no search needed per instructions","Aflac is the company's actual trading name and a household insurance brand; Columbus, GA HQ matches and RETIRED/SALES donors fit. Decided without search (obvious brand)."
ALCHEMIST,keep_as_is,,medium,,"n/a — plain-word trading name, not an acronym","Not an acronym but an ordinary word used as a trading name; ENTREPRENEUR donor in Cambridge, MA gives no expansion to find, so there is nothing more intelligible to substitute."
ALKERMES,keep_as_is,,high,,"resolved_hq Waltham, MA matches Alkermes' known US HQ",No search needed — Alkermes plc is the company's actual trading name (not an acronym) and the resolved HQ Waltham MA matches its US headquarters; a reader sees a normal company name.
ALLSTATE,keep_as_is,,high,,,"Allstate is a major well-known insurance brand; Northbrook IL HQ matches. Obvious brand, no search needed."
ALTBANQ,keep_as_is,,high,,"https://altbanq.com/ — 'altbanq', an alternative finance provider offering lending and payments","altbanq is the company's own brand styling, not an acronym; it is a US alternative-finance lender, consistent with the FINANCE donor in New York, NY."
AMEDISYS,keep_as_is,,high,,,"Amedisys is the company's actual registered brand name (home health care), not an acronym; already intelligible as a proper noun. No search needed."
AMGEN,keep_as_is,,high,,"well-known public brand (Amgen Inc., NASDAQ: AMGN)","Amgen is the biotech's registered public brand; Thousand Oaks CA HQ matches. Well-known brand, decided without search."
AMPLIFY,keep_as_is,,medium,,,"Amplify is an ordinary word used as a trading name; VENTURE CAPITAL occupation and San Francisco HQ fit Amplify Partners, which brands itself simply as Amplify. Not an opaque acronym."
ARCXIS,keep_as_is,,high,,"https://www.prnewswire.com/news-releases/dpis-builder-services-rebranding-as-arcxis-301478932.html — DPIS Builder Services rebranded as ARCXIS, headquartered in Houston TX","ARCXIS is a coined trading name, not an acronym — it has no expansion; the Houston HQ and Bellaire TX CEO donor confirm the identification, so the name stays."
ARDELYX,keep_as_is,,high,,no search (known public company),"Ardelyx is the real corporate name of the Waltham, MA biopharma (Nasdaq: ARDX); PHARMACEUTICAL EXEC/SALES occupations and the Waltham HQ corroborate it."
ARMY,keep_as_is,,high,,no search (already intelligible),"Already fully intelligible to any reader and the Washington DC HQ confirms the U.S. Army; not an acronym, so no expansion adds clarity. Decided without search."
ASTELLAS,keep_as_is,,high,,"n/a — well-known pharmaceutical brand, no search needed per instructions","Astellas is a coined brand name rather than an acronym and is the pharma company's public identity; the Northbrook, IL resolved HQ is its US headquarters and the donor is a SALES REP. Decided without search (recognized brand)."
AVANT,keep_as_is,,high,,"Chicago HQ + software engineer matches Avant, the Chicago consumer-lending fintech","Avant is the Chicago fintech lender's actual brand name and matches the SOFTWARE ENGINEER donor and Chicago HQ; it is a trading name, not an acronym. Decided without search."
BAIRD,keep_as_is,,high,,decided without search (Milwaukee HQ in row + fixed-income trading occupations corroborate Robert W. Baird & Co),"No search needed — Robert W. Baird & Co is a Milwaukee investment bank universally traded as ""Baird""; resolved_hq Milwaukee WI plus FIXED INCOME SALES & TRADING / MANAGING DIRECTOR occupations confirm it. Founder-name brand."
BAMKO,keep_as_is,,high,,https://bamko.net/ ; https://www.bbb.org/us/ca/los-angeles/profile/product-development-and-marketing/bamko-promotional-items-llc-1216-568328,"BAMKO is the company's own trading name (BAMKO Inc / BAMKO LLC), a branded-merchandise firm; no acronym expansion exists. LA HQ and MARKETING occupation in Encino CA corroborate."
BARCLAYS,keep_as_is,,high,,,Globally known bank brand; NY banker/analyst donors and NY HQ fit. No search needed.
BAYER,keep_as_is,,high,,,"No search needed — Bayer is a globally recognized brand and the company's actual name; Whippany, NJ US HQ matches."
BCG,keep_as_is,,high,,,The firm officially trades and brands itself as 'BCG' — same category as IBM/PWC in the rules. CONSULTANT occupation and Boston MA HQ confirm the identification. No search needed.
BDJ,keep_as_is,,high,,https://www.bdj.com/ ; https://lawyers.findlaw.com/california/beverly-hills/4254413_1/,"Search confirms BD&J, PC is a Beverly Hills personal injury firm - the initialism IS the firm's public trading name (founder initials), and the ATTORNEY/PRESIDENT donors in Beverly Hills and LA plus the manual LA hq corroborate it."
BENESCH,keep_as_is,,high,,decided without search (founder-named Ohio law firm; Ohio HQ + attorney donors corroborate),"No search needed — Benesch (Benesch, Friedlander, Coplan & Aronoff) is an Ohio law firm named for a founder; ATTORNEY donors in Beachwood OH and Chicago IL plus an Ohio HQ confirm it. The short form is the firm's own public brand."
BENTEX,keep_as_is,,high,,"https://www.bentex.com/about — Bentex Group, children's apparel, 34 W 33rd St, New York NY","Bentex is the company's own brand name, not an acronym; Brooklyn donors in import/wholesale with a New York HQ corroborate the children's apparel wholesaler."
BERNSTEIN,keep_as_is,,high,,https://en.wikipedia.org/wiki/AllianceBernstein,"Bernstein is a founder surname (Sanford C. Bernstein) and an established public brand in asset and private wealth management, matching the INVESTMENT MANAGER donor; it is not an acronym and needs no expansion."
BETTERUP,keep_as_is,,high,,well-known brand,BetterUp is the public brand of the coaching platform; resolved HQ San Francisco CA matches. Decided without search.
BH3,keep_as_is,,high,,,No search needed - BH3 Management is the real estate firm's own trading name; Fort Lauderdale hq matches resolved_hq and the CEO / REAL ESTATE donors corroborate. No meaningful expansion exists.
BIGHAWK,keep_as_is,,medium,,no search needed — coined brand name,"Coined compound-word brand, not an initialism; a reader parses it as a company name already."
BLACKROCK,keep_as_is,,high,,well-known public brand; NY HQ + asset management occupations corroborate,"BlackRock is a globally recognized asset manager brand; NY HQ and ASSET MANAGEMENT / attorney donors match. Obvious brand, no search needed."
BLATT,keep_as_is,,medium,,https://html.duckduckgo.com/html/?q=Blatt+Cincinnati+Ohio+homebuilder+homes,"A surname, not an acronym. The Cincinnati homebuilding Blatt family trades publicly as 'John Henry Homes', but the filed employer 'BLATT' is most likely the family's own entity; no public expansion of 'BLATT' itself exists."
BLOOMBERG,keep_as_is,,high,,,No search needed - globally recognized brand; NY hq and VICE CHAIRMAN / VICE PRESIDENT donors in New York confirm.
BLUELINX,keep_as_is,,high,,no search needed - public company trading name,"BlueLinx Holdings is the building-products distributor's real trading name, not an acronym; Atlanta GA donor and Atlanta GA HQ agree. Decided without search."
BLUETENT,keep_as_is,,medium,,no search needed — coined brand name,"Coined two-word brand (hospitality marketing firm), readable as-is rather than an opaque initialism."
BMO,keep_as_is,,medium,,https://en.wikipedia.org/wiki/BMO_Capital_Markets,"BMO is the bank's official public brand (BMO Capital Markets is the New York investment-banking arm, matching the SALES TRADER donor and NYC resolved HQ). Expanding to 'Bank of Montreal' would name the Canadian parent rather than the actual employer, so the brand name is the better label."
BODMAN,keep_as_is,,high,,decided without search (founder-named law firm; Detroit HQ in row corroborates),No search needed — Bodman PLC is a Detroit law firm named for its founder; resolved_hq Detroit MI and ATTORNEY/LAWYER occupations in Ann Arbor MI confirm the firm. Founder-name trading names stay per the rules.
BOSPAR,keep_as_is,,high,,https://bospar.com/about/,"Bospar is the firm's actual trading name — a San Francisco tech PR agency (name derives from founders Boehlke + Sparrer), matching the resolved SF HQ and CONTENT DIRECTOR occupation. Not an acronym with a public expansion."
BOSSWORKS,keep_as_is,,medium,,no search needed — coined brand name,Coined compound-word brand rather than an acronym; already readable to a dashboard visitor.
BRAMAN,keep_as_is,,medium,,no search needed — founder-named firm,"Founder surname of the Braman auto dealership group in South Florida, corroborated by the CAR SALES donor in Palm Beach Gardens FL; founder-named firms stay as-is."
BRAVEN,keep_as_is,,medium,,no search needed — word-style brand name,"Braven is the trading name of the career-readiness nonprofit; a CEO donor fits and the name is a readable word, not an initialism."
BRAZE,keep_as_is,,high,,no search needed - public company trading name,"Braze is the New York customer-engagement software company's actual brand name, not an acronym; PRODUCT MANAGER donors and the New York HQ fit. Decided without search."
BREX,keep_as_is,,high,,well-known brand,"Brex is the public brand of the corporate-card fintech; coined name, not an acronym. Decided without search."
BTIG,keep_as_is,,high,,BTIG LLC is the firm's registered trading name; known broker-dealer brand,BTIG LLC is the firm's actual legal and trading name (no public expansion); NY HQ with SALES TRADER/BANKING/FINANCE donors in NY and Englewood NJ corroborates the broker-dealer.
BURBERRY,keep_as_is,,high,,no search needed - well-known public brand,Burberry is a globally recognized fashion brand; NYC/Englewood NJ donors and the New York HQ office fit. Decided without search.
BUSINESS,keep_as_is,,low,,,"Generic FEC self-description by one retired donor, not an acronym; there is no organization behind it to expand to."
CACTUS,keep_as_is,,high,,"https://cactuswhd.com/cactus-companies/ and https://stockanalysis.com/stocks/whd/company/ - Cactus, Inc., Houston TX","Cactus, Inc. (NYSE: WHD) is the Houston oilfield pressure-control company's actual legal and trading name, not an acronym; the Houston/Bellaire TX COO donor corroborates the company but the name needs no expansion."
CAKETECH,keep_as_is,,low,,,"Compound word brand name, not an opaque initialism; no public expansion identified for the Stamford CT CEO."
CALDWELL,keep_as_is,,medium,,https://search.brave.com/search?q=Caldwell+Partners+executive+search+New+York+consultant,"Caldwell is the firm's own trading name (founder-named executive search/consulting firm) and it has a New York office, matching the CONSULTANT donor in New York, NY."
CALTECH,keep_as_is,,high,,well-known institution; Pasadena CA HQ in row corroborates,"Caltech is the universally used common short name of the California Institute of Technology; Pasadena CA HQ matches. Obvious keep, decided without search."
CAPITALZ,keep_as_is,,medium,,"name is self-evidently a stylized brand, not an initialism",Coined trading name rather than an acronym — 'Capitalz' reads as the firm's own brand for a Boca Raton private-equity shop; no public expansion exists. Decided without search.
CAREMARK,keep_as_is,,high,,,"Caremark is the recognized pharmacy-benefit brand (now CVS Caremark); a retired Northbrook IL donor fits its longstanding Illinois-area operations. Known brand, no search needed."
CARTA,keep_as_is,,high,,,"Carta is the actual product/company name of the cap-table software firm; customer success and sales occupations fit its go-to-market roles. Known brand, no search needed."
CBIZ,keep_as_is,,high,,,"CBIZ is the NYSE-listed company's actual legal and trading name (Cleveland OH HQ matches, accountant/CPA donors fit its accounting practice); it is not an expandable acronym. Known brand, no search needed."
CEDAR,keep_as_is,,medium,,,"Word-style brand name (New York HQ, marketing donor), not an unintelligible acronym."
CFCPAPC,keep_as_is,,medium,,string structure = initials + CPA + PC; occupation CPA,Reads as a person's initials plus 'CPA PC' — a solo accountant's professional corporation in San Antonio TX; CPA occupation corroborates. No public expansion exists for such an entity.
CGI,keep_as_is,,high,,CGI Inc. is the registered trading name,CGI Inc. is the company's actual legal and trading name (the IT consultancy dropped 'Consultants to Government and Industry' long ago); NETWORK ENGINEER fits. Decided without search (known brand).
CHABAD,keep_as_is,,high,,"occupation RABBI + resolved_hq Brooklyn, NY (770 Eastern Parkway)","No search needed — Chabad is the movement's own well-known public name, the donors are RABBIs, and the Brooklyn NY resolved HQ matches Chabad-Lubavitch world headquarters; a reader recognizes 'Chabad'."
CHAPMAN,keep_as_is,,high,,founder-surname law firm pattern,"ATTORNEY donor — a founder-surname law firm name, which the rules keep as-is. Decided without search per the founder-named-firm exception."
CHASE,keep_as_is,,high,,well-known brand; New York NY HQ in row corroborates,"Chase is the consumer-facing brand of JPMorgan Chase and instantly recognizable; New York NY HQ and FINANCE occupations match. Obvious keep, no search needed."
CHERRE,keep_as_is,,high,,"name is the company's own brand, not an initialism",Not an acronym — Cherre is the actual trading name of the NYC real-estate data company; DATA SCIENTIST in New York with a New York HQ matches. Decided without search (known brand name).
CHIME,keep_as_is,,high,,,No search needed - Chime is the fintech's actual consumer brand; San Francisco hq matches and the MARKETING donor in Campbell CA fits.
CHROMADEX,keep_as_is,,high,,known public company brand,"ChromaDex is the company's public brand and trading name (NASDAQ: CDXC, nicotinamide riboside supplements); a reader recognizes it as written. Decided without search as an obvious brand."
CHUBB,keep_as_is,,high,,,"Chubb is the insurer's well-known public brand, not an acronym; NJ HQ and insurance-counsel donors fit (no search needed)."
CISCO,keep_as_is,,high,,,"No search needed — Cisco is a globally recognised brand and its own trading name; resolved HQ San Jose, CA confirms the identification."
CITIBANK,keep_as_is,,high,,,No search needed - universally recognized bank brand; NY hq and BANKER / VICE PRESIDENT donors in the NY metro area confirm.
CITYPAC,keep_as_is,,high,,,"No search needed — the occupation is literally POLITICAL ACTION COMMITTEE and CityPAC is the committee's own registered public name, not an opaque acronym."
CLARKSONS,keep_as_is,,medium,,trading name / known brand,"Decided without search: Clarksons is the public trading name of the shipping services and investment banking group (Clarkson PLC); donor occupation INVESTMENT BANKER and NY resolved_hq fit, and the name is already the brand."
CLAROTY,keep_as_is,,high,,no search needed — Claroty is the company's own brand name,Claroty is the trading name of the NYC industrial-cybersecurity firm; NYC HQ and SALES/TECHNOLOGY donors match.
CLASSIQ,keep_as_is,,medium,,trading name,"Decided without search: Classiq is the company's own coined trading name (quantum computing software), not an acronym needing expansion."
CLEERLY,keep_as_is,,high,,no search needed — Cleerly is the company's own brand name,"Cleerly is the trading name of the cardiac-imaging AI firm, not an acronym; nothing to expand."
COGNIZANT,keep_as_is,,high,,known brand; resolved_hq Teaneck NJ matches,"Well-known public brand (Cognizant Technology Solutions, NASDAQ: CTSH); Teaneck NJ HQ in the row matches. Decided without search as an obvious brand."
COLLIERS,keep_as_is,,high,,no search needed — well-known commercial real estate brand,Colliers is the firm's actual trading name (Colliers International); real-estate and corporate-counsel donors in Florida corroborate the brokerage.
COLRICH,keep_as_is,,medium,,ColRich is the firm's own brand name (San Diego real estate development); HQ and donor city match,ColRich is the San Diego real-estate developer's actual trading name (not an acronym); San Diego CA HQ with REAL ESTATE DEVELOPER/INVESTOR donors in San Diego matches exactly.
COMCAST,keep_as_is,,high,,,"Household-name cable/media brand, Philadelphia PA HQ matches. No search needed."
COMPASS,keep_as_is,,high,,"well-known brand (Compass, Inc., NYSE: COMP, New York)","Compass, Inc. is the residential brokerage's actual trading name; New York NY HQ with BROKER/REAL ESTATE donors across PA, TX and NY matches its national agent network. Decided without search."
CONVERMAT,keep_as_is,,high,,"https://www.convermat.com/ - Convermat Corp., offices Great Neck NY and 9401 Wilshire Blvd, Beverly Hills CA","Company site confirms Convermat Corp is the firm's own name (global tissue/pulp supplier) and it has a Beverly Hills CA office matching the donor's city exactly; the name is already the trading name, not an acronym."
CORCORAN,keep_as_is,,high,,no search needed — well-known real estate brand,The Corcoran Group is the firm's actual trading name; broker/real-estate donors in New York and Palm Beach with a NYC HQ corroborate it.
COREVEST,keep_as_is,,high,,Irvine CA HQ + INVESTMENTS occupation in row; firm trades as CoreVest,"CoreVest is the trading name of CoreVest Finance, the Irvine CA residential real estate lender — not an acronym; Irvine CA HQ matches and donors are in INVESTMENTS."
COVETRUS,keep_as_is,,high,,"Portland, ME HQ + compounding division matches Covetrus, the animal-health technology and services company","Covetrus is the animal-health company's real brand name (Portland, ME HQ matches), not an acronym; the SVP COMPOUNDING DIVISION title fits its compounding business. Decided without search."
CRAFTY,keep_as_is,,medium,,"name is a plain-word trading name, not an initialism","An ordinary English word used as a brand name, not an opaque acronym — a reader parses it as-is; no expansion would add intelligibility."
CRESA,keep_as_is,,high,,no search needed — Cresa is the firm's trading name,Cresa is the actual name of the tenant-representation real estate firm; commercial real estate broker donors in Bethesda MD and a Chicago HQ corroborate it.
CRICUT,keep_as_is,,high,,no search needed — well-known consumer brand,Cricut is the trading brand of the cutting-machine maker; South Jordan UT HQ and Salt Lake City engineering donor match.
CVENTURES,keep_as_is,,low,,https://signal.nfx.com/firms/c-ventures ; https://www.linkedin.com/company/cventures-inc (competing Denver entity),"Best match is C Ventures, the LA-and-Hong-Kong venture firm (LA HQ, managing director/consultant donors), but a Denver family office shares the name and the only 'expansion' would be 'C Ventures' — not materially more intelligible."
CVSHEALTH,keep_as_is,,high,,decided without search (Woonsocket RI HQ in row is CVS Health's headquarters; nationally known brand),"No search needed — CVS Health is a household retail-pharmacy brand and resolved_hq Woonsocket RI is its actual headquarters. Readers recognize it; only the missing space is cosmetic, not an intelligibility problem."
CYBERARK,keep_as_is,,high,,,"Decided without a search: CyberArk is the company's real public brand (Nasdaq: CYBR), and FOUNDER/CHAIRMAN/CEO donors near its Newton, MA US HQ confirm it."
CYBREXA,keep_as_is,,high,,https://www.cybrexa.com/about/,"Confirmed as Cybrexa Therapeutics, a clinical-stage oncology biotech whose CHIEF MEDICAL OFFICER role matches the donor occupation exactly and whose Northeast base fits the Melrose MA donor; CYBREXA is an invented trading name, not an acronym."
CYDCOR,keep_as_is,,high,,,"No search needed - Cydcor is the outsourced-sales firm's actual coined company name (not an initialism), and its Agoura Hills CA hq matches resolved_hq exactly."
DALET,keep_as_is,,high,,https://www.dalet.com/about-us/ and https://www.crunchbase.com/organization/dalet-digital-media-systems-usa-inc,"Dalet is the media-software company's actual brand name with its US office in New York, matching the HQ; a BUSINESS DEVELOPMENT MANAGER fits, and there is no acronym to expand."
DAMSKI,keep_as_is,,medium,,founder/surname-named firm,Decided without search: a surname-based small practice (FINANCIAL ADVISOR in Clifton NJ) with no public expansion.
DANKMEYER,keep_as_is,,high,,"http://www.dankmeyer.com/ — Dankmeyer, Inc., 825 N Hammonds Ferry Rd, Linthicum Heights MD",Founder-named firm (Charles 'Herb' Dankmeyer) trading under its own surname; Linthicum Heights MD HQ matches the resolved HQ exactly.
DARTMOUTH,keep_as_is,,high,,"well-known institution short name, no search needed","Dartmouth is the university's common short name and readers recognize it; PROFESSOR in Norwich VT with a Hanover NH HQ confirms Dartmouth College, and per the rules universities' common short names stay."
DELL,keep_as_is,,high,,decided without search (Round Rock TX HQ in row is Dell Technologies' headquarters),No search needed — Dell is a globally recognized computer brand named for founder Michael Dell; resolved_hq Round Rock TX is Dell's headquarters and ENGINEER/SALES occupations fit. Not an acronym.
DELPHI,keep_as_is,,high,,"Troy, MI is Delphi's longtime headquarters; Delphi is the company's trading name","Troy, MI HQ and an ENGINEER donor in Carmel, IN match the auto-parts maker, whose actual public brand is simply Delphi. Well-known brand, decided without search."
DENTONS,keep_as_is,,high,,well-known firm name; attorneys + NY HQ corroborate,"Dentons is the law firm's actual name (not an acronym) and a recognized global brand; attorney donors and NY HQ match. Obvious brand, no search needed."
DERMCARE,keep_as_is,,high,,"no search needed — 'DermCare' is a readable trading name, not an opaque acronym",Already intelligible as a dermatology practice/group; Hollywood FL HQ and MEDICAL DOCTOR donor in Pinecrest FL are consistent.
DESIGNER,keep_as_is,,high,,,"Not an acronym at all - a generic occupation word entered as an employer (SUSTAINABLE DESIGN / RETIRED donors, no hq). There is nothing to expand."
DHR,keep_as_is,,medium,,https://www.dhrglobal.com/,"The firm's own site shows it trades simply as DHR Global, an executive search and leadership consulting firm — matching the EXECUTIVE SEARCH occupation — and the initials have no publicly disclosed expansion, so no materially more intelligible name exists."
DISNEY,keep_as_is,,high,,,Disney is a globally recognized brand; Burbank CA HQ and attorney/director donors in Studio City CA and Winter Park FL fit (no search needed).
DOCMJ,keep_as_is,,medium,,docmj.com (403 to fetch); brand name corroborated by FL medical cannabis donor context,"DocMJ is the clinic network's actual consumer-facing brand name, and the MEDICAL CANNABIS PHYSICIAN occupation in Clearwater FL matches its Florida medical-marijuana certification business; the official site blocked automated fetch but the brand-name status is not in doubt."
DOORDASH,keep_as_is,,high,,well-known public brand; SF HQ corroborates,"DoorDash is a household consumer brand; San Francisco HQ with attorney and product manager donors matches. Obvious brand, no search needed."
DUPONT,keep_as_is,,high,,"well-known brand, no search needed",DuPont is a globally recognized public brand and its own trading name; RETIRED donor in Wilmington DE matches the company's Wilmington HQ. Decided without a search as an obvious known brand.
ECKSTEIN,keep_as_is,,medium,,,"Not an acronym — a founder surname; LAWYER in New York, NY indicates a surname-named law firm, which the rules keep as-is. Decided without search."
EDJCO,keep_as_is,,high,,https://www.linkedin.com/in/david-rubin-174541227/ ; https://davidrubinfinancial.wordpress.com/,"Search shows EDJCO is David Rubin's own Los Angeles construction-management / affordable-housing company - context matches (HOMELESS HOUSING, PRINCIPAL, LA hq) but no published expansion of the name exists, so it is a founder's own entity name."
ELDRIDGE,keep_as_is,,high,,"no search needed — Eldridge is the firm's own trading name, not an acronym","Eldridge (Eldridge Industries) is a real word-name holding company; NY HQ matches, and an ATTORNEY donor in Dallas fits an in-house or affiliated role."
ELLIPSIS,keep_as_is,,medium,,,"Not an acronym — a coined single-word firm name; NY consulting/board-advisor context gives no alternate expansion. Decided without search (word, not initialism)."
EMORY,keep_as_is,,high,,,"Decided without a search: Emory is the university's own common public short name, and PHYSICIAN/PROFESSOR donors in Atlanta with an Atlanta HQ confirm it; a reader recognizes it unaided."
ERLANGER,keep_as_is,,high,,https://en.wikipedia.org/wiki/Erlanger_Health_System,"Not an acronym — the health system's common public name; confirmed as Erlanger in Chattanooga, TN, exactly matching the PHYSICIAN donor's city (the AI-resolved Cincinnati HQ is wrong, but the name itself needs no expansion)."
EXCELLUS,keep_as_is,,high,,"n/a - known regional brand, HQ matches Rochester NY","Excellus is the public brand of the Rochester NY health insurer, and the Rochester NY resolved_hq plus a RETIRED donor in Wantagh NY corroborate it; the brand name is already what a reader recognizes."
F-FACTOR,keep_as_is,,high,,decided without search (NYC HQ in row + dietitian occupation match the F-Factor nutrition brand),"No search needed — F-Factor is the public brand of the New York fiber-based nutrition company; the DIETITIAN and R&D donors in New York NY plus resolved_hq New York NY corroborate. It is the trading name, not an acronym."
FABRICANT,keep_as_is,,medium,,n/a - founder-surname firm,Surname-based small insurance firm in New York matching the donor's city and INSURANCE occupation; no public acronym expansion exists.
FACTORLAW,keep_as_is,,medium,,"https://www.factorlaw.com/ - Law Office of Elizabeth Lidd Factor, P.C., La Grange, Illinois (Chicago metro)","Founder-surname law practice (Factor) in the Chicago area, matching the Chicago IL ATTORNEY donor; per the rules, founder-named firms stay as-is."
FARMER,keep_as_is,,high,,"n/a - occupation, not an acronym","No search needed - this is an occupation entered as employer by a RETIRED donor, not an acronym; there is no organization to expand."
FCB,keep_as_is,,medium,,,"The global advertising agency formally renamed itself FCB; New York HQ and a CREATIVE donor in Queens Village, NY corroborate that identity, and FCB is its actual trading name. Decided without search as an industry brand."
FERRING,keep_as_is,,medium,,"decided without search — established pharmaceutical brand name, not an acronym","SALES donor in Florida with a Princeton, NJ resolved_hq matches Ferring Pharmaceuticals' US base, but ""Ferring"" is a readable brand word rather than an unintelligible acronym."
FIBERTRON,keep_as_is,,medium,,decided without search — coined single-word corporate name,"Fibertron is already a complete trading name rather than an initialism, so there is no expansion that would add intelligibility."
FIGHTCAMP,keep_as_is,,medium,,n/a - consumer brand name,"Readable consumer trading name (home boxing fitness brand), not an acronym; a Los Angeles CFO fits the company and the name needs no expansion."
FILMRISE,keep_as_is,,high,,n/a - trading brand name,"FilmRise is the actual trading name of the Brooklyn NY film and TV distributor, matching the donor's Brooklyn NY location; a descriptive brand, not an acronym."
FINMARC,keep_as_is,,high,,http://www.finmarc.com/company/,"Verified as Finmarc Management, a Bethesda MD commercial real estate firm — the Bethesda/Potomac MD real estate donor corroborates exactly, but FINMARC is the firm's own coined trading name, not an acronym, so nothing intelligible to expand."
FINNEGAN,keep_as_is,,high,,n/a - founder-named law firm,"Founder-named IP law firm Finnegan, Henderson, Farabow, Garrett & Dunner; LAWYER occupation and Washington DC resolved_hq match the firm's DC base. No search needed per founder-named rule."
FIS,keep_as_is,,medium,,,"Jacksonville, FL HQ matches the fintech that legally trades as FIS; FIS is the company's own public brand (like IBM/PWC), not an opaque internal abbreviation. Decided without search as a known brand."
FISERV,keep_as_is,,high,,"https://en.wikipedia.org/wiki/Fiserv - 'Fiserv, Inc.' is the company's actual name, not an acronym","Fiserv is the company's real corporate name and public fintech brand, not an acronym; donor is a SALES DIRECTOR and the resolved HQ matches the company."
FLUXON,keep_as_is,,medium,,n/a - coined trading name,"Coined pronounceable trading name of a Palo Alto product-development firm, matching the Palo Alto CEO donor; not an acronym with a fuller form."
FOGELMAN,keep_as_is,,high,,decided without search — founder-surname property firm,"REAL ESTATE occupation in Memphis, TN matches Fogelman Properties, a surname-named firm that trades under exactly this name."
FOODGRAPH,keep_as_is,,medium,,not an acronym — no expansion exists; no public company record found,"FoodGraph is a coined company name rather than an acronym, so there is no expansion to give; a single Needham MA CEO donor indicates a small private firm with no public expansion."
FORBES,keep_as_is,,high,,,"Decided without a search: Forbes is a globally recognized media brand, and the EDITOR occupation plus Jersey City HQ matches the publisher."
